Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
1,1,6,2.4160384701422117,"(True, False)",6,['' '' '' '9' '' '' '' '' ''],['' '3' '' '3' '3' '3' '3' '3' '3']
1,2,8,1.1976719956119268,"(False, False)",8,['' '3' '' '3' '3' '3' '3' '3' '3'],['' '4' '' '' '' '' '' '' '']
1,3,5,1.5819520670734164,"(True, False)",5,['' '4' '' '' '' '' '' '' ''],['' '5' '' '' '' '' '' '' '']
1,4,9,0.9094328304695409,"(False, False)",9,['' '5' '' '' '' '' '' '' ''],['1' '1' '' '1' '1' '1' '1' '1' '1']
1,5,3,2.912809769834894,"(False, False)",3,['1' '1' '' '1' '1' '1' '1' '1' '1'],['3' '3' '' '' '3' '3' '' '' '3']
1,6,8,5.25931071519426,"(False, False)",8,['3' '3' '' '' '3' '3' '' '' '3'],['' '' '' '1' '' '1' '' '' '1']
1,7,4,1.0756900202554789,"(True, True)",4,['' '' '' '1' '' '1' '' '' '1'],['3' '3' '3' '3' '3' '3' '3' '3' '3']
1,8,7,1.7124472544746823,"(True, False)",7,['3' '3' '3' '3' '3' '3' '3' '3' '3'],['' '' '' '' '' '1' '1' '1' '1']
1,9,5,0.9869641560253513,"(True, True)",5,['' '' '' '' '' '1' '1' '1' '1'],['4' '4' '' '4' '4' '' '' '4' '4']
1,10,2,1.4918648550092257,"(True, True)",2,['4' '4' '' '4' '4' '' '' '4' '4'],['' '' '' '8' '' '' '' '' '']
1,11,4,3.5440201053529563,"(True, False)",4,['' '' '' '8' '' '' '' '' ''],['' '3' '3' '3' '3' '' '3' '3' '']
1,12,2,4.591334795039074,"(False, True)",2,['' '3' '3' '3' '3' '' '3' '3' ''],['6' '' '' '' '6' '' '' '6' '']
2,1,6,2.5355926957599877,"(True, True)",6,['5' '' '' '' '5' '5' '5' '5' '5'],['1' '' '1' '' '1' '1' '1' '' '']
2,2,8,6.160648620572374,"(True, False)",8,['1' '' '1' '' '1' '1' '1' '' ''],['1' '1' '' '' '1' '1' '1' '1' '1']
2,3,4,2.355773738933749,"(True, True)",4,['1' '1' '' '' '1' '1' '1' '1' '1'],['3' '3' '3' '3' '' '3' '3' '3' '3']
2,4,2,4.8515824423666345,"(False, True)",2,['3' '3' '3' '3' '' '3' '3' '3' '3'],['4' '' '' '' '' '4' '' '' '']
2,5,5,2.9253361617493283,"(False, True)",5,['4' '' '' '' '' '4' '' '' ''],['3' '' '' '' '' '' '3' '' '']
2,6,5,9.558387802569086,"(False, True)",5,['3' '' '' '' '' '' '3' '' ''],['3' '3' '3' '3' '3' '3' '3' '3' '3']
2,7,5,3.4914105616689994,"(False, False)",6,['3' '3' '3' '3' '3' '3' '3' '3' '3'],['' '2' '2' '2' '2' '' '2' '2' '2']
2,8,5,3.2169480527436463,"(False, True)",5,['' '2' '2' '2' '2' '' '2' '2' '2'],['' '' '8' '8' '8' '8' '' '8' '']
2,9,5,0.613089930163369,"(True, True)",5,['' '' '8' '8' '8' '8' '' '8' ''],['7' '7' '7' '' '' '7' '7' '7' '7']
3,1,8,2.062486018796335,"(False, False)",8,['6' '' '' '' '' '' '' '' ''],['7' '7' '' '7' '7' '7' '' '7' '7']
