Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
1,1,9,3.3021724874438405,False,9,['9' '9' '' '9' '' '9' '9' '' ''],['8' '' '' '8' '' '8' '8' '' '']
1,2,9,0.714474720452472,True,9,['8' '' '' '8' '' '8' '8' '' ''],['1' '' '' '1' '' '1' '1' '' '1']
1,3,0,3.3495699152088036,False,0,['1' '' '' '1' '' '1' '1' '' '1'],['9' '' '' '9' '' '' '9' '9' '9']
1,4,3,2.8135478241417786,True,3,['9' '' '' '9' '' '' '9' '9' '9'],['' '' '' '4' '' '' '' '' '']
1,5,9,0.8995643993368958,True,9,['' '' '' '4' '' '' '' '' ''],['5' '' '' '5' '5' '5' '' '5' '5']
1,6,9,1.8553136998937134,False,9,['5' '' '' '5' '5' '5' '' '5' '5'],['' '' '1' '' '1' '' '' '1' '']
1,7,6,1.355589110443134,True,6,['' '' '1' '' '1' '' '' '1' ''],['5' '5' '5' '5' '5' '5' '5' '5' '5']
1,8,0,1.468713131758932,True,0,['5' '5' '5' '5' '5' '5' '5' '5' '5'],['' '5' '5' '5' '' '5' '5' '5' '5']
1,9,9,2.098020108417586,False,9,['' '5' '5' '5' '' '5' '5' '5' '5'],['5' '5' '' '' '' '' '' '' '']
1,10,6,2.909632780826769,False,7,['5' '5' '' '' '' '' '' '' ''],['' '1' '' '' '1' '1' '1' '' '1']
1,11,5,1.358681829185798,True,5,['' '1' '' '' '1' '1' '1' '' '1'],['4' '4' '' '4' '4' '4' '4' '4' '4']
1,12,8,1.0564239223365348,True,8,['4' '4' '' '4' '4' '4' '4' '4' '4'],['4' '4' '' '4' '4' '4' '4' '4' '4']
1,13,3,2.3504501564361817,False,3,['4' '4' '' '4' '4' '4' '4' '4' '4'],['5' '5' '5' '5' '' '' '' '5' '']
2,1,3,2.1429553122443394,False,3,['7' '7' '7' '7' '7' '7' '7' '7' '7'],['' '4' '' '4' '4' '' '' '4' '']
2,2,5,1.5124183727564287,True,5,['' '4' '' '4' '4' '' '' '4' ''],['' '' '' '' '' '' '' '' '1']
2,3,3,0.9178709653695023,False,3,['' '' '' '' '' '' '' '' '1'],['' '' '' '' '' '' '6' '6' '']
2,4,0,1.2968642268126587,False,0,['' '' '' '' '' '' '6' '6' ''],['1' '1' '1' '1' '1' '1' '' '1' '1']
2,5,7,2.4437890516071548,False,7,['1' '1' '1' '1' '1' '1' '' '1' '1'],['3' '3' '3' '3' '3' '3' '3' '3' '3']
2,6,7,0.850375462337297,True,7,['3' '3' '3' '3' '3' '3' '3' '3' '3'],['' '' '' '' '' '4' '4' '' '']
2,7,3,1.2407628297648898,False,3,['' '' '' '' '' '4' '4' '' ''],['' '2' '' '' '' '' '' '' '']
2,8,3,0.6397821537027539,True,3,['' '2' '' '' '' '' '' '' ''],['' '' '1' '' '1' '' '1' '1' '']
2,9,3,0.9043023034894304,True,3,['' '' '1' '' '1' '' '1' '1' ''],['' '2' '' '2' '' '2' '2' '2' '2']
2,10,3,4.020588374993395,False,2,['' '2' '' '2' '' '2' '2' '2' '2'],['7' '7' '' '' '' '7' '7' '7' '7']
2,11,9,1.5997078120069546,True,9,['7' '7' '' '' '' '7' '7' '7' '7'],['2' '2' '' '' '2' '2' '2' '' '']
2,12,9,2.5752985465676375,False,9,['2' '2' '' '' '2' '2' '2' '' ''],['' '' '' '' '7' '7' '' '7' '7']
2,13,9,1.70268416117392,False,9,['' '' '' '' '7' '7' '' '7' '7'],['' '' '5' '5' '5' '' '5' '' '5']
2,14,7,1.3053985064245808,True,7,['' '' '5' '5' '5' '' '5' '' '5'],['2' '2' '' '' '2' '' '2' '2' '2']
3,1,1,1.7307492239474414,True,1,['' '' '' '' '' '' '2' '2' ''],['9' '9' '' '9' '9' '' '9' '' '']
3,2,4,2.3092389322496274,False,3,['9' '9' '' '9' '9' '' '9' '' ''],['7' '7' '7' '' '7' '7' '7' '7' '7']
3,3,2,2.8711840891610336,False,2,['7' '7' '7' '' '7' '7' '7' '7' '7'],['1' '1' '1' '' '' '' '' '' '1']
3,4,0,2.6350362055704863,False,0,['1' '1' '1' '' '' '' '' '' '1'],['4' '' '4' '' '4' '4' '' '4' '4']
3,5,2,3.208662753462022,False,2,['4' '' '4' '' '4' '4' '' '4' '4'],['' '2' '2' '2' '2' '' '' '2' '2']
3,6,9,0.9174515292754677,True,9,['' '2' '2' '2' '2' '' '' '2' '2'],['7' '' '7' '' '7' '7' '7' '7' '7']
3,7,8,2.120886844951883,False,8,['7' '' '7' '' '7' '7' '7' '7' '7'],['' '' '8' '' '' '' '' '' '']
3,8,0,0.8032997937677919,True,0,['' '' '8' '' '' '' '' '' ''],['' '' '' '' '2' '2' '' '' '']
3,9,3,2.196132914127247,False,3,['' '' '' '' '2' '2' '' '' ''],['' '' '' '' '' '' '7' '' '']
3,10,2,0.8755680581987235,True,2,['' '' '' '' '' '' '7' '' ''],['' '' '5' '' '' '5' '5' '5' '']
3,11,0,1.2963712457597012,True,0,['' '' '5' '' '' '5' '5' '5' ''],['5' '5' '5' '5' '' '5' '5' '5' '5']
3,12,7,1.7974514373443071,True,7,['5' '5' '5' '5' '' '5' '5' '5' '5'],['' '' '2' '2' '2' '' '' '2' '2']
3,13,8,1.6853218051610384,False,8,['' '' '2' '2' '2' '' '' '2' '2'],['' '' '3' '' '' '3' '' '3' '']
3,14,1,2.456564806898541,False,1,['' '' '3' '' '' '3' '' '3' ''],['6' '' '6' '6' '6' '6' '6' '6' '6']
4,1,2,1.70976401261305,True,2,['8' '8' '' '' '' '' '8' '8' '8'],['' '' '4' '' '' '4' '4' '' '']
4,2,2,2.257735244276546,False,2,['' '' '4' '' '' '4' '4' '' ''],['2' '2' '2' '2' '2' '2' '2' '2' '2']
