Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
1,1,7,1.1007841731243388,"(True, True)",7,['3' '3' '3' '' '3' '3' '3' '' ''],['' '4' '4' '' '4' '4' '4' '' '']
1,2,3,3.3762889520148747,"(True, False)",3,['' '4' '4' '' '4' '4' '4' '' ''],['5' '5' '5' '5' '5' '5' '5' '5' '5']
1,3,4,1.0466198430431177,"(True, True)",4,['5' '5' '5' '5' '5' '5' '5' '5' '5'],['9' '9' '9' '9' '9' '' '9' '9' '9']
1,4,8,2.9239464684633276,"(True, False)",8,['9' '9' '9' '9' '9' '' '9' '9' '9'],['1' '1' '1' '1' '1' '1' '1' '1' '1']
1,5,4,2.0290464283189067,"(False, True)",4,['1' '1' '1' '1' '1' '1' '1' '1' '1'],['5' '' '5' '5' '' '5' '5' '' '5']
1,6,9,2.603365524574656,"(False, True)",9,['5' '' '5' '5' '' '5' '5' '' '5'],['' '3' '' '3' '3' '' '' '' '']
1,7,9,3.5448662554281327,"(False, True)",9,['' '3' '' '3' '3' '' '' '' ''],['6' '6' '6' '6' '6' '6' '6' '6' '6']
1,8,0,2.152007087895072,"(False, False)",0,['6' '6' '6' '6' '6' '6' '6' '6' '6'],['' '' '' '' '8' '' '' '' '']
1,9,6,2.072717195117548,"(False, False)",6,['' '' '' '' '8' '' '' '' ''],['4' '4' '' '4' '' '' '4' '' '4']
1,10,4,3.788788837100583,"(False, True)",4,['4' '4' '' '4' '' '' '4' '' '4'],['9' '9' '' '' '' '' '' '' '']
1,11,8,1.0590853305384371,"(True, True)",8,['9' '9' '' '' '' '' '' '' ''],['' '9' '' '' '9' '' '' '9' '9']
1,12,3,4.377084922976792,"(True, False)",3,['' '9' '' '' '9' '' '' '9' '9'],['' '' '' '3' '' '3' '' '3' '3']
2,1,1,3.7106454029808447,"(False, True)",1,['' '' '5' '5' '5' '' '' '5' '5'],['' '6' '' '' '6' '' '' '' '6']
2,2,5,2.1276005037834693,"(False, False)",5,['' '6' '' '' '6' '' '' '' '6'],['' '' '' '' '5' '' '' '' '5']
2,3,7,2.106151039895849,"(True, False)",7,['' '' '' '' '5' '' '' '' '5'],['' '' '' '' '' '' '9' '9' '']
2,4,7,2.7811941709487655,"(False, False)",7,['' '' '' '' '' '' '9' '9' ''],['6' '' '6' '6' '' '6' '' '6' '']
2,5,5,1.9563246366415115,"(True, True)",5,['6' '' '6' '6' '' '6' '' '6' ''],['' '' '9' '' '' '' '9' '' '9']
2,6,6,4.7807463894023385,"(True, False)",6,['' '' '9' '' '' '' '9' '' '9'],['' '7' '7' '7' '7' '7' '7' '7' '']
2,7,0,1.8087857880491356,"(True, True)",0,['' '7' '7' '7' '7' '7' '7' '7' ''],['3' '3' '3' '3' '3' '3' '3' '3' '3']
2,8,8,1.9912274653652275,"(False, True)",8,['3' '3' '3' '3' '3' '3' '3' '3' '3'],['' '9' '' '' '' '' '' '' '']
2,9,7,1.8789051607109286,"(False, True)",7,['' '9' '' '' '' '' '' '' ''],['6' '6' '6' '' '6' '6' '6' '' '6']
2,10,1,2.6592704186850824,"(False, True)",1,['6' '6' '6' '' '6' '6' '6' '' '6'],['' '4' '4' '' '' '' '' '' '']
2,11,0,1.1290350135286644,"(True, True)",0,['' '4' '4' '' '' '' '' '' ''],['' '' '' '6' '' '' '' '6' '']
2,12,3,0.9642874106348245,"(True, True)",3,['' '' '' '6' '' '' '' '6' ''],['7' '7' '' '7' '7' '7' '' '7' '7']
2,13,9,1.0537854969343243,"(True, True)",9,['7' '7' '' '7' '7' '7' '' '7' '7'],['' '' '2' '2' '2' '' '2' '2' '']
3,1,1,2.3971060058656803,"(False, True)",1,['' '' '' '' '4' '4' '4' '4' '4'],['' '' '' '6' '6' '' '' '' '']
3,2,9,2.5401988318608346,"(False, True)",9,['' '' '' '6' '6' '' '' '' ''],['7' '' '' '7' '' '' '7' '' '']
3,3,6,2.7745601858232476,"(False, True)",2,['7' '' '' '7' '' '' '7' '' ''],['' '9' '9' '' '9' '9' '9' '' '9']
3,4,7,4.085929623603079,"(False, True)",7,['' '9' '9' '' '9' '9' '9' '' '9'],['' '' '' '' '' '' '' '' '1']
3,5,0,1.3350057150555585,"(True, True)",0,['' '' '' '' '' '' '' '' '1'],['9' '9' '9' '9' '9' '9' '9' '9' '']
3,6,1,3.9128492236413877,"(False, True)",1,['9' '9' '9' '9' '9' '9' '9' '9' ''],['3' '3' '' '3' '' '3' '3' '3' '']
3,7,1,2.7206287481121763,"(False, False)",1,['3' '3' '' '3' '' '3' '3' '3' ''],['' '8' '8' '8' '8' '' '' '8' '']
3,8,0,2.641551446230551,"(True, False)",0,['' '8' '8' '8' '8' '' '' '8' ''],['' '' '4' '' '' '' '4' '' '']
3,9,7,2.726284815111285,"(False, False)",7,['' '' '4' '' '' '' '4' '' ''],['' '2' '2' '' '2' '' '2' '2' '']
3,10,7,4.911572912165866,"(False, True)",7,['' '2' '2' '' '2' '' '2' '2' ''],['' '' '2' '' '' '2' '' '' '']
3,11,4,2.5270388807684867,"(False, True)",4,['' '' '2' '' '' '2' '' '' ''],['' '' '2' '' '' '' '' '' '']
4,1,6,3.152142686413754,"(False, True)",6,['6' '6' '6' '6' '' '6' '6' '6' '6'],['' '8' '8' '8' '8' '8' '' '8' '8']
