blocks,trials,cue_flag,response_time,response,correct_response,is_correct,stim_left,stim_right,trial_endtime
1,1,"(True, False)",2.5484925430064322,4,4,True,['' '' '' '' '1' '1' '' '' ''],['1' '' '' '' '1' '' '' '' '1'],4.877299028012203
1,2,"(True, False)",4.060612275003223,3,3,True,['1' '' '' '' '1' '' '' '' '1'],['' '6' '' '' '6' '' '' '' ''],11.272830002009869
1,3,"(False, False)",8.759280521000619,2,1,False,['' '6' '' '' '6' '' '' '' ''],['2' '2' '2' '2' '2' '2' '2' '2' '2'],22.360622222011443
1,4,"(True, True)",3.64023474699934,3,1,False,['2' '2' '2' '2' '2' '2' '2' '2' '2'],['' '9' '9' '9' '9' '' '9' '9' '9'],28.338572496999404
1,5,"(False, True)",17.160810200002743,1,9,False,['' '9' '9' '9' '9' '' '9' '9' '9'],['2' '2' '2' '2' '2' '2' '2' '' '2'],47.82567203800136
1,6,"(True, False)",0.22577387100318447,1,7,False,['2' '2' '2' '2' '2' '2' '2' '' '2'],['' '' '5' '5' '5' '' '' '5' '5'],50.38052569900174
1,7,"(True, True)",0.25084278799477033,1,3,False,['' '' '5' '5' '5' '' '' '5' '5'],['8' '8' '8' '8' '8' '' '8' '8' '8'],52.9687874950032
1,8,"(False, False)",0.0717443559988169,1,3,False,['8' '8' '8' '8' '8' '' '8' '8' '8'],['5' '' '5' '5' '' '5' '' '5' ''],55.373375903000124
1,9,"(False, False)",0.10714469599770382,1,9,False,['5' '' '5' '5' '' '5' '' '5' ''],['2' '' '2' '' '2' '' '2' '' ''],57.811321261004196
1,10,"(True, False)",0.06622419499035459,1,3,False,['2' '' '2' '' '2' '' '2' '' ''],['' '' '' '' '2' '' '' '' ''],60.21591202401032
2,1,"(True, False)",0.22566533800272737,1,3,False,['' '4' '' '' '' '4' '' '' ''],['1' '1' '1' '1' '1' '1' '1' '1' '1'],2.554194477008423
2,2,"(True, False)",0.21983085900137667,1,4,False,['1' '1' '1' '1' '1' '1' '1' '1' '1'],['' '' '' '' '3' '3' '' '' '3'],5.109058696005377
2,3,"(True, True)",0.19499866299156565,1,6,False,['' '' '' '' '3' '3' '' '' '3'],['3' '3' '3' '3' '3' '3' '3' '3' '3'],7.630511787996511
2,4,"(True, True)",0.06859177400474437,1,7,False,['3' '3' '3' '3' '3' '3' '3' '3' '3'],['4' '4' '' '4' '4' '4' '4' '4' ''],10.035093614002108
2,5,"(True, True)",32.89650114100368,1,9,False,['4' '4' '' '4' '4' '4' '4' '4' ''],['5' '' '' '5' '' '' '' '' '5'],45.268853121000575
2,6,"(False, True)",4.285669449993293,1,1,True,['5' '' '' '5' '' '' '' '' '5'],['8' '8' '8' '8' '8' '8' '8' '8' '8'],51.881426378997276
2,7,"(True, False)",0.19128458401246462,1,2,False,['8' '8' '8' '8' '8' '8' '8' '8' '8'],['' '' '5' '' '5' '5' '' '' '5'],54.40289001399651
2,8,"(False, False)",0.25183644400385674,1,2,False,['' '' '5' '' '5' '5' '' '' '5'],['7' '7' '7' '7' '7' '7' '' '7' '7'],56.99114965100307
2,9,"(False, True)",0.43667217399342917,1,7,False,['7' '7' '7' '7' '7' '7' '' '7' '7'],['9' '9' '' '9' '9' '9' '9' '9' '9'],59.763099436007906
3,1,"(True, False)",4.790114753996022,1,1,True,['' '5' '' '5' '' '5' '5' '' ''],['3' '3' '3' '' '' '3' '' '3' '3'],7.119148647994734
3,2,"(False, True)",1.7806682149966946,1,1,True,['3' '3' '3' '' '' '3' '' '3' '3'],['5' '5' '5' '' '' '' '' '' '5'],11.226953984005377
3,3,"(True, False)",1.2278602199949091,1,3,False,['5' '5' '5' '' '' '' '' '' '5'],['4' '4' '4' '' '4' '4' '4' '4' '4'],14.783735887001967
3,4,"(False, True)",0.2779038070002571,1,4,False,['4' '4' '4' '' '4' '4' '4' '4' '4'],['' '' '' '6' '' '6' '' '' '6'],17.388695825007744
3,5,"(True, True)",17.682391538997763,1,1,True,['' '' '' '6' '' '6' '' '' '6'],['' '' '' '5' '' '' '' '' ''],37.410159271996235
3,6,"(False, True)",6.425098124993383,1,2,False,['' '' '' '5' '' '' '' '' ''],['' '' '' '1' '' '' '1' '' ''],46.160131188007654
3,7,"(False, False)",1.544133184987004,1,3,False,['' '' '' '1' '' '' '1' '' ''],['' '' '' '' '' '' '6' '' ''],50.03420257399557
3,8,"(True, False)",4.44577340799151,1,3,False,['' '' '' '' '' '' '6' '' ''],['7' '7' '7' '7' '7' '7' '' '7' ''],56.84715227900597
3,9,"(True, True)",0.0832390249997843,1,3,False,['7' '7' '7' '7' '7' '7' '' '7' ''],['' '' '6' '' '' '' '6' '6' ''],59.268410707998555
4,1,"(False, True)",26.1917131490045,1,5,False,['4' '4' '4' '4' '4' '4' '4' '4' '4'],['6' '' '' '6' '' '6' '6' '' ''],28.53273955800978
4,2,"(False, False)",4.1378116909909295,1,6,False,['6' '' '' '6' '' '6' '6' '' ''],['' '' '' '6' '' '' '6' '' ''],34.995029341997
4,3,"(True, True)",4.971627166989492,1,2,False,['' '' '' '6' '' '' '6' '' ''],['6' '' '' '' '6' '' '' '6' ''],42.292229183003656
4,4,"(True, False)",3.78252321400214,1,0,False,['6' '' '' '' '6' '' '' '6' ''],['' '2' '2' '' '' '2' '' '2' ''],48.40388430599705
4,5,"(False, False)",2.9678611980052665,1,6,False,['' '2' '2' '' '' '2' '' '2' ''],['1' '' '1' '' '' '' '' '' ''],53.69729634599935
