Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
1,1,5,3.905772436574807,"(False, False)",5,['8' '8' '8' '8' '' '8' '8' '8' '8'],['' '6' '6' '' '6' '6' '6' '6' '6']
1,2,1,1.195932963769792,"(True, True)",1,['' '6' '6' '' '6' '6' '6' '6' '6'],['' '' '' '' '' '' '5' '' '']
1,3,3,2.7330819781141145,"(False, True)",3,['' '' '' '' '' '' '5' '' ''],['2' '2' '2' '2' '2' '2' '2' '2' '2']
1,4,8,3.932982156154594,"(False, True)",8,['2' '2' '2' '2' '2' '2' '2' '2' '2'],['9' '' '' '9' '9' '' '' '' '']
1,5,7,1.1650084576699555,"(True, True)",7,['9' '' '' '9' '9' '' '' '' ''],['' '8' '8' '' '' '' '8' '' '8']
1,6,5,2.927660871936496,"(False, True)",5,['' '8' '8' '' '' '' '8' '' '8'],['' '1' '' '1' '' '' '' '1' '1']
1,7,6,2.312795520499094,"(False, True)",6,['' '1' '' '1' '' '' '' '1' '1'],['2' '' '2' '2' '2' '' '2' '' '2']
1,8,6,1.3080461249469408,"(True, True)",6,['2' '' '2' '2' '2' '' '2' '' '2'],['' '' '4' '' '' '' '' '' '']
1,9,9,1.8237989188892243,"(True, True)",9,['' '' '4' '' '' '' '' '' ''],['' '' '' '' '' '5' '' '' '5']
1,10,1,1.1102002261504822,"(True, True)",1,['' '' '' '' '' '5' '' '' '5'],['' '' '' '' '6' '6' '6' '6' '']
1,11,9,2.4582276124547207,"(False, False)",9,['' '' '' '' '6' '6' '6' '6' ''],['' '' '5' '' '' '5' '5' '5' '5']
1,12,2,2.6219241353105645,"(True, False)",2,['' '' '5' '' '' '5' '5' '5' '5'],['8' '8' '' '' '8' '8' '8' '8' '8']
1,13,5,2.4187948739163403,"(False, False)",5,['8' '8' '' '' '8' '8' '8' '8' '8'],['9' '9' '9' '9' '9' '9' '9' '' '9']
2,1,4,3.0332967140725486,"(False, True)",4,['' '' '' '' '7' '7' '' '7' ''],['' '' '' '' '' '1' '' '' '1']
2,2,3,1.44574986746602,"(False, False)",3,['' '' '' '' '' '1' '' '' '1'],['' '' '' '' '' '' '' '' '4']
2,3,6,3.011841887531318,"(False, False)",6,['' '' '' '' '' '' '' '' '4'],['2' '2' '2' '' '2' '' '' '2' '']
